Date,Equity %,Debt %
2000-01-01,7,93
2000-02-01,12,88
2000-03-01,2,98
2000-04-01,17,83
2000-05-01,89,11
2000-06-01,49,51
2000-07-01,24,76
2000-08-01,65,35
2000-09-01,43,57
2000-10-01,79,21
2000-11-01,91,9
2000-12-01,80,20
2001-01-01,83,17
2001-02-01,44,56
2001-03-01,64,36
2001-04-01,95,5
2001-05-01,99,1
2001-06-01,98,2
2001-07-01,99,1
2001-08-01,100,0
2001-09-01,100,0
2001-10-01,100,0
2001-11-01,100,0
2001-12-01,100,0
2002-01-01,100,0
2002-02-01,96,4
2002-03-01,89,11
2002-04-01,93,7
2002-05-01,95,5
2002-06-01,99,1
2002-07-01,100,0
2002-08-01,100,0
2002-09-01,100,0
2002-10-01,100,0
2002-11-01,100,0
2002-12-01,100,0
2003-01-01,100,0
2003-02-01,100,0
2003-03-01,100,0
2003-04-01,100,0
2003-05-01,100,0
2003-06-01,100,0
2003-07-01,100,0
2003-08-01,100,0
2003-09-01,100,0
2003-10-01,100,0
2003-11-01,98,2
2003-12-01,95,5
2004-01-01,68,32
2004-02-01,86,14
2004-03-01,60,40
2004-04-01,78,22
2004-05-01,100,0
2004-06-01,100,0
2004-07-01,100,0
2004-08-01,100,0
2004-09-01,100,0
2004-10-01,100,0
2004-11-01,100,0
2004-12-01,100,0
2005-01-01,100,0
2005-02-01,100,0
2005-03-01,100,0
2005-04-01,100,0
2005-05-01,100,0
2005-06-01,100,0
2005-07-01,100,0
2005-08-01,100,0
2005-09-01,100,0
2005-10-01,100,0
2005-11-01,100,0
2005-12-01,100,0
2006-01-01,97,3
2006-02-01,94,6
2006-03-01,87,13
2006-04-01,58,42
2006-05-01,58,42
2006-06-01,98,2
2006-07-01,88,12
2006-08-01,95,5
2006-09-01,79,21
2006-10-01,62,38
2006-11-01,69,31
2006-12-01,47,53
2007-01-01,46,54
2007-02-01,63,37
2007-03-01,85,15
2007-04-01,93,7
2007-05-01,64,36
2007-06-01,52,48
2007-07-01,52,48
2007-08-01,67,33
2007-09-01,59,41
2007-10-01,24,76
2007-11-01,2,98
2007-12-01,2,98
2008-01-01,0,100
2008-02-01,21,79
2008-03-01,45,55
2008-04-01,53,47
2008-05-01,23,77
2008-06-01,63,37
2008-07-01,98,2
2008-08-01,87,13
2008-09-01,89,11
2008-10-01,98,2
2008-11-01,100,0
2008-12-01,100,0
2009-01-01,100,0
2009-02-01,100,0
2009-03-01,100,0
2009-04-01,100,0
2009-05-01,98,2
2009-06-01,70,30
2009-07-01,74,26
2009-08-01,61,39
2009-09-01,66,34
2009-10-01,39,61
2009-11-01,77,23
2009-12-01,40,60
2010-01-01,33,67
2010-02-01,62,38
2010-03-01,58,42
2010-04-01,41,59
2010-05-01,46,54
2010-06-01,64,36
2010-07-01,47,53
2010-08-01,38,62
2010-09-01,42,58
2010-10-01,15,85
2010-11-01,18,82
2010-12-01,31,69
2011-01-01,22,78
2011-02-01,70,30
2011-03-01,65,35
2011-04-01,50,50
2011-05-01,62,38
2011-06-01,72,28
2011-07-01,72,28
2011-08-01,81,19
2011-09-01,95,5
2011-10-01,98,2
2011-11-01,90,10
2011-12-01,96,4
2012-01-01,100,0
2012-02-01,93,7
2012-03-01,92,8
2012-04-01,93,7
2012-05-01,96,4
2012-06-01,100,0
2012-07-01,97,3
2012-08-01,98,2
2012-09-01,97,3
2012-10-01,89,11
2012-11-01,93,7
2012-12-01,92,8
2013-01-01,91,9
2013-02-01,92,8
2013-03-01,96,4
2013-04-01,97,3
2013-05-01,94,6
2013-06-01,95,5
2013-07-01,95,5
2013-08-01,98,2
2013-09-01,100,0
2013-10-01,99,1
2013-11-01,95,5
2013-12-01,94,6
2014-01-01,93,7
2014-02-01,98,2
2014-03-01,97,3
2014-04-01,90,10
2014-05-01,91,9
2014-06-01,78,22
2014-07-01,73,27
2014-08-01,80,20
2014-09-01,70,30
2014-10-01,74,26
2014-11-01,64,36
2014-12-01,59,41
2015-01-01,68,32
2015-02-01,49,51
2015-03-01,34,66
2015-04-01,47,53
2015-05-01,58,42
2015-06-01,48,52
2015-07-01,48,52
2015-08-01,47,53
2015-09-01,74,26
2015-10-01,65,35
2015-11-01,67,33
2015-12-01,72,28
2016-01-01,72,28
2016-02-01,85,15
2016-03-01,91,9
2016-04-01,75,25
2016-05-01,73,27
2016-06-01,55,45
2016-07-01,51,49
2016-08-01,43,57
2016-09-01,38,62
2016-10-01,42,58
2016-11-01,48,52
2016-12-01,70,30
2017-01-01,65,35
2017-02-01,48,52
2017-03-01,46,54
2017-04-01,43,57
2017-05-01,40,60
2017-06-01,31,69
2017-07-01,28,72
2017-08-01,16,84
2017-09-01,14,86
2017-10-01,22,78
2017-11-01,13,87
2017-12-01,19,81
2018-01-01,13,87
2018-02-01,7,93
2018-03-01,21,79
2018-04-01,25,75
2018-05-01,14,86
2018-06-01,12,88
2018-07-01,21,79
2018-08-01,7,93
2018-09-01,6,94
2018-10-01,15,85
2018-11-01,31,69
2018-12-01,18,82
2019-01-01,19,81
2019-02-01,18,82
2019-03-01,17,83
2019-04-01,3,97
2019-05-01,3,97
2019-06-01,2,98
2019-07-01,4,96
2019-08-01,16,84
2019-09-01,22,78
2019-10-01,20,80
2019-11-01,10,90
2019-12-01,7,93
2020-01-01,6,94
2020-02-01,26,74
2020-03-01,33,67
2020-04-01,98,2
2020-05-01,82,18
2020-06-01,66,34
2020-07-01,25,75
2020-08-01,8,92
2020-09-01,0,100
2020-10-01,0,100
2020-11-01,1,99
2020-12-01,0,100
2021-01-01,0,100
2021-02-01,0,100
2021-03-01,0,100
2021-04-01,0,100
2021-05-01,0,100
2021-06-01,1,99
2021-07-01,4,96
2021-08-01,7,93
2021-09-01,9,91
2021-10-01,8,92
2021-11-01,10,90
2021-12-01,29,71
2022-01-01,21,79
2022-02-01,29,71
2022-03-01,60,40
2022-04-01,31,69
2022-05-01,48,52
2022-06-01,74,26
2022-07-01,83,17
2022-08-01,65,35
2022-09-01,70,30
2022-10-01,74,26
2022-11-01,51,49
2022-12-01,42,58
2023-01-01,52,48
2023-02-01,71,29
2023-03-01,73,27
2023-04-01,74,26
2023-05-01,67,33
2023-06-01,59,41
2023-07-01,46,54
2023-08-01,34,66
2023-09-01,50,50
2023-10-01,62,38
2023-11-01,80,20
2023-12-01,64,36
2024-01-01,43,57
2024-02-01,50,50
2024-03-01,41,59
2024-04-01,41,59
2024-05-01,50,50
2024-06-01,49,51
2024-07-01,40,60
2024-08-01,33,67
2024-09-01,32,68
2024-10-01,28,72
2024-11-01,50,50
2024-12-01,54,46
2025-01-01,60,40
2025-02-01,70,30
2025-03-01,86,14
2025-04-01,72,28
2025-05-01,60,40
2025-06-01,52,48
2025-07-01,45,55
2025-08-01,68,32
2025-09-01,68,32
2025-10-01,63,37
2025-11-01,53,47
2025-12-01,50,50
2026-01-01,51,49
2026-02-01,66,34
2026-03-01,63,37
2026-04-01,84,16
2026-05-01,72,28
2026-06-01,81,19
2026-07-01,75,25
2026-08-01,73,27
2026-09-01,78,22
