month,rate_pct
1999-12,6.92
2000-01,5.63
2000-02,9.23
2000-03,16.52
2000-04,7.04
2000-05,7.03
2000-06,7.51
2000-07,8.22
2000-08,13.74
2000-09,10.18
2000-10,8.25
2000-11,8.06
2000-12,9.18
2001-01,9.79
2001-02,8.07
2001-03,12.23
2001-04,7.53
2001-05,6.89
2001-06,7.33
2001-07,7.00
2001-08,6.98
2001-09,8.02
2001-10,8.57
2001-11,6.53
2001-12,8.01
2002-01,6.60
2002-02,7.16
2002-03,10.01
2002-04,6.55
2002-05,6.10
2002-06,5.40
2002-07,5.73
2002-08,5.69
2002-09,5.71
2002-10,5.52
2002-11,5.39
2002-12,5.65
2003-01,6.12
2003-02,6.44
2003-03,6.38
2003-04,4.81
2003-05,4.96
2003-06,4.90
2003-07,4.94
2003-08,4.32
2003-09,4.64
2003-10,4.49
2003-11,4.30
2003-12,4.40
2004-01,4.31
2004-02,4.30
2004-03,4.40
2004-04,4.17
2004-05,4.39
2004-06,4.11
2004-07,4.25
2004-08,4.36
2004-09,4.85
2004-10,4.83
2004-11,4.80
2004-12,5.44
2005-01,5.45
2005-02,5.25
2005-03,5.25
2005-04,4.94
2005-05,5.01
2005-06,5.60
2005-07,3.19
2005-08,5.03
2005-09,5.04
2005-10,5.38
2005-11,5.40
2005-12,6.20
2006-01,7.40
2006-02,6.64
2006-03,6.64
